model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.163235,0.134889,3.2322,3.644555,0.147549,0.163235
N-En,0.154087,0.120964,3.404374,3.942372,0.141997,0.154087
lgbm_dart#2,0.152931,0.117355,3.361407,3.717857,0.142964,0.152931
lgbm_gbdt#2,0.152544,0.118909,3.170828,3.477114,0.142777,0.152544
ffn#1,0.151678,0.127593,2.952093,3.762923,0.133998,0.151678
pls#2,0.148537,0.110409,3.301475,3.891398,0.135846,0.148537
L-En,0.095017,0.068581,3.880495,4.68021,0.08793,0.095017
ridge#2,0.091475,0.097549,2.451736,4.368734,0.07191,0.091475
pcr#2,0.072777,0.046079,4.050801,4.823002,0.068256,0.072777
lasso#2,0.062157,0.03835,3.924923,4.831329,0.061645,0.062157
elasticnet#1,0.061563,0.038837,4.063994,4.958156,0.059786,0.061563
