group,model,ic
2023-03-03,L-En,-0.8112745098039216
2023-03-06,L-En,-0.538961038961039
2023-03-07,L-En,-0.06862745098039208
2023-03-09,L-En,0.9516483516483516
2023-03-10,L-En,0.4288537549407115
2023-03-13,L-En,0.9058565955117679
2023-03-14,L-En,0.24481074481074486
2023-03-15,L-En,0.5525030525030525
2023-03-16,L-En,0.9736263736263735
2023-03-17,L-En,-0.24769230769230766
2023-03-20,L-En,-0.9469230769230768
2023-03-21,L-En,-0.5084838533114393
2023-03-22,L-En,0.9318885448916409
2023-03-24,L-En,0.872549019607843
2023-03-31,L-En,-0.10701754385964912
2023-04-03,L-En,-0.22941176470588234
2023-04-06,L-En,0.23997741389045735
2023-04-10,L-En,0.8045112781954887
2023-04-11,L-En,-0.8941176470588237
2023-04-12,L-En,0.08300395256917
2023-04-13,L-En,0.5170278637770898
2023-04-18,L-En,-0.13106295149638808
2023-04-19,L-En,-0.703896103896104
2023-04-20,L-En,-0.014705882352941122
2023-04-21,L-En,-0.24395604395604392
2023-05-01,L-En,0.9605805958747137
2023-05-02,L-En,-0.574197860962567
2023-05-03,L-En,-0.5990147783251231
2023-05-04,L-En,0.9213675213675212
2023-05-09,L-En,-0.8995098039215685
2023-05-10,L-En,0.071078431372549
2023-05-11,L-En,-0.9752321981424148
2023-05-12,L-En,-0.061274509803921455
2023-05-15,L-En,-0.3952528379772961
2023-06-02,L-En,-0.28461538461538455
2023-06-05,L-En,0.6623376623376622
2023-06-07,L-En,0.8575851393188855
2023-06-08,L-En,-0.2882352941176471
2023-06-09,L-En,0.1298245614035087
2023-06-12,L-En,-0.41098901098901086
2023-06-15,L-En,0.1403508771929824
2023-07-03,L-En,-0.5823529411764706
2023-07-05,L-En,-0.16923076923076927
2023-07-06,L-En,-0.4842105263157896
2023-07-07,L-En,0.9649122807017545
2023-07-12,L-En,0.8764705882352941
2023-08-02,L-En,-0.2923076923076923
2023-08-03,L-En,0.6785714285714287
2023-08-08,L-En,-0.3333333333333334
2023-03-03,N-En,-0.8357843137254902
2023-03-06,N-En,-0.47012987012987
2023-03-07,N-En,-0.0808823529411764
2023-03-09,N-En,0.9472527472527472
2023-03-10,N-En,0.4466403162055335
2023-03-13,N-En,0.888888888888889
2023-03-14,N-En,0.20879120879120883
2023-03-15,N-En,0.5537240537240538
2023-03-16,N-En,0.9648351648351647
2023-03-17,N-En,-0.27307692307692305
2023-03-20,N-En,-0.9592307692307692
2023-03-21,N-En,-0.5030103995621233
2023-03-22,N-En,0.9112487100103198
2023-03-24,N-En,0.8602941176470587
2023-03-31,N-En,-0.2578947368421052
2023-04-03,N-En,-0.28235294117647064
2023-04-06,N-En,0.23884810841332574
2023-04-10,N-En,0.8030075187969925
2023-04-11,N-En,-0.8970588235294118
2023-04-12,N-En,0.08300395256917001
2023-04-13,N-En,0.523219814241486
2023-04-18,N-En,-0.1537667698658412
2023-04-19,N-En,-0.6077922077922079
2023-04-20,N-En,-0.004901960784313692
2023-04-21,N-En,-0.2395604395604395
2023-05-01,N-En,0.9339954163483576
2023-05-02,N-En,-0.5959224598930482
2023-05-03,N-En,-0.613793103448276
2023-05-04,N-En,0.9234188034188034
2023-05-09,N-En,-0.9264705882352942
2023-05-10,N-En,0.071078431372549
2023-05-11,N-En,-0.9752321981424148
2023-05-12,N-En,-0.04411764705882335
2023-05-15,N-En,-0.3973168214654282
2023-06-02,N-En,-0.48923076923076925
2023-06-05,N-En,0.6233766233766235
2023-06-07,N-En,0.8596491228070176
2023-06-08,N-En,-0.2852941176470588
2023-06-09,N-En,0.10701754385964903
2023-06-12,N-En,-0.512087912087912
2023-06-15,N-En,0.15087719298245605
2023-07-03,N-En,-0.6411764705882353
2023-07-05,N-En,-0.16923076923076927
2023-07-06,N-En,-0.4701754385964914
2023-07-07,N-En,0.9752321981424152
2023-07-12,N-En,0.9147058823529411
2023-08-02,N-En,-0.30989010989010995
2023-08-03,N-En,0.6857142857142857
2023-08-08,N-En,-0.2916666666666668
2023-03-03,elasticnet#1,-0.7892156862745097
2023-03-06,elasticnet#1,-0.5246753246753247
2023-03-07,elasticnet#1,-0.11764705882352929
2023-03-09,elasticnet#1,0.9516483516483518
2023-03-10,elasticnet#1,0.466403162055336
2023-03-13,elasticnet#1,0.9152867199440009
2023-03-14,elasticnet#1,0.24969474969474956
2023-03-15,elasticnet#1,0.5500610500610501
2023-03-16,elasticnet#1,0.9736263736263735
2023-03-17,elasticnet#1,-0.2607692307692308
2023-03-20,elasticnet#1,-0.9446153846153844
2023-03-21,elasticnet#1,-0.496989600437876
2023-03-22,elasticnet#1,0.9318885448916409
2023-03-24,elasticnet#1,0.8700980392156863
2023-03-31,elasticnet#1,-0.15087719298245617
2023-04-03,elasticnet#1,-0.28235294117647064
2023-04-06,elasticnet#1,0.2332015810276679
2023-04-10,elasticnet#1,0.8045112781954887
2023-04-11,elasticnet#1,-0.8941176470588237
2023-04-12,elasticnet#1,0.09090909090909101
2023-04-13,elasticnet#1,0.5128998968008255
2023-04-18,elasticnet#1,-0.14344685242518068
2023-04-19,elasticnet#1,-0.7025974025974026
2023-04-20,elasticnet#1,-0.014705882352941122
2023-04-21,elasticnet#1,-0.24395604395604392
2023-05-01,elasticnet#1,0.9529411764705881
2023-05-02,elasticnet#1,-0.5752005347593583
2023-05-03,elasticnet#1,-0.5990147783251231
2023-05-04,elasticnet#1,0.9179487179487182
2023-05-09,elasticnet#1,-0.9436274509803921
2023-05-10,elasticnet#1,0.071078431372549
2023-05-11,elasticnet#1,-0.977296181630547
2023-05-12,elasticnet#1,-0.061274509803921455
2023-05-15,elasticnet#1,-0.3973168214654282
2023-06-02,elasticnet#1,-0.2907692307692308
2023-06-05,elasticnet#1,0.6558441558441557
2023-06-07,elasticnet#1,0.8575851393188855
2023-06-08,elasticnet#1,-0.2882352941176471
2023-06-09,elasticnet#1,0.1298245614035087
2023-06-12,elasticnet#1,-0.35384615384615375
2023-06-15,elasticnet#1,0.13859649122807016
2023-07-03,elasticnet#1,-0.6147058823529413
2023-07-05,elasticnet#1,-0.1296703296703297
2023-07-06,elasticnet#1,-0.49473684210526325
2023-07-07,elasticnet#1,0.9628482972136224
2023-07-12,elasticnet#1,0.9294117647058824
2023-08-02,elasticnet#1,-0.33626373626373623
2023-08-03,elasticnet#1,0.6785714285714287
2023-08-08,elasticnet#1,-0.32843137254901966
2023-03-03,ffn#1,-0.8357843137254902
2023-03-06,ffn#1,-0.5038961038961038
2023-03-07,ffn#1,0.004901960784313759
2023-03-09,ffn#1,0.8989010989010989
2023-03-10,ffn#1,0.3774703557312253
2023-03-13,ffn#1,0.9157088122605365
2023-03-14,ffn#1,0.24053724053724043
2023-03-15,ffn#1,0.5525030525030525
2023-03-16,ffn#1,0.9648351648351647
2023-03-17,ffn#1,-0.24923076923076923
2023-03-20,ffn#1,-0.9438461538461539
2023-03-21,ffn#1,-0.510125889436234
2023-03-22,ffn#1,0.9318885448916409
2023-03-24,ffn#1,0.8700980392156862
2023-03-31,ffn#1,-0.22631578947368422
2023-04-03,ffn#1,-0.28235294117647064
2023-04-06,ffn#1,0.2377188029361941
2023-04-10,ffn#1,0.7624060150375939
2023-04-11,ffn#1,-0.9000000000000001
2023-04-12,ffn#1,0.038961038961038925
2023-04-13,ffn#1,0.5046439628482972
2023-04-18,ffn#1,-0.1744066047471621
2023-04-19,ffn#1,-0.6792207792207793
