model,IC_mean,IC_std,N
L-En,0.04027446767616315,0.6165426612612983,49
N-En,0.028321888190869556,0.6213694587830589,49
elasticnet#1,0.03854129868088583,0.6200372143872226,49
ffn#1,0.03421725487173633,0.6124821723360063,49
lasso#2,0.03343877039428016,0.6188177135794578,49
lgbm_dart#2,0.027958519357025553,0.6055468087401485,49
lgbm_gbdt#2,0.014596542081024701,0.5973154113747294,49
pcr#2,0.049449367260524235,0.6192188442595044,49
pls#2,0.03817961778661136,0.6096698943467581,49
rf#1,0.026919501282531753,0.614380576123147,49
ridge#2,0.03454482682191386,0.6178707148564561,49
