model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
elasticnet#1,-0.180227,-3375.378649,-0.130013,-1.468703,-0.082,-0.180227
lgbm_dart#2,-0.22891,-56.11101,-0.451361,-1.253284,-0.209648,-0.22891
rf#1,-0.24214,-872.035814,-1.381685,-1.076692,-0.172822,-0.24214
pcr#2,-0.265233,-137.698112,-0.528033,-1.381135,-0.244541,-0.265233
lasso#2,-0.283556,-3274.607081,-0.292768,-1.467853,-0.193033,-0.283556
N-En,-0.397083,-489.347419,-0.570545,-1.257492,-0.332925,-0.397083
L-En,-0.589676,-3216.958022,-0.468329,-1.305263,-0.409338,-0.589676
lgbm_gbdt#2,-0.663353,-237.997753,-1.394605,-1.430885,-0.559213,-0.663353
pls#2,-1.257157,-2936.809698,-1.124925,-1.142937,-1.166124,-1.257157
ffn#1,-4.562734,-2564.136388,-2.750996,-1.323902,-4.065719,-4.562734
ridge#2,-14.252472,-14761.892909,-3.597368,-1.291113,-11.606035,-14.252472
