model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#2,-0.303724,-57.47581,-0.450131,-1.246604,-0.22891
rf#1,-0.321564,-912.104156,-1.344897,-1.074286,-0.24214
pcr#2,-0.329534,-138.717981,-0.524397,-1.374022,-0.265233
elasticnet#1,-0.557154,-3330.688184,-0.166134,-1.466748,-0.180227
lgbm_gbdt#2,-0.726792,-229.83468,-1.412434,-1.436266,-0.663353
N-En,-0.740434,-500.998023,-0.581295,-1.250748,-0.397083
lasso#2,-0.769569,-3233.09209,-0.322766,-1.465692,-0.283556
L-En,-0.947387,-3274.376896,-0.497392,-1.297972,-0.589676
pls#2,-2.398337,-3047.521892,-1.10185,-1.138653,-1.257157
ffn#1,-6.055337,-2603.713691,-2.787913,-1.316512,-4.562734
ridge#2,-16.635163,-15051.846851,-3.620055,-1.283943,-14.252472
