model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.163802,0.134161,3.594573,4.3364,0.151078,0.163802
N-En,0.154879,0.120591,3.747975,4.640016,0.145336,0.154879
lgbm_gbdt#2,0.154344,0.119061,3.393439,4.188894,0.148254,0.154344
lgbm_dart#2,0.153201,0.114947,3.41231,4.275243,0.143506,0.153201
ffn#1,0.149221,0.124881,3.659086,4.541082,0.134583,0.149221
pls#2,0.143442,0.105535,3.75485,4.586682,0.128911,0.143442
L-En,0.091334,0.065776,4.535911,5.35853,0.081673,0.091334
ridge#2,0.086617,0.093599,3.374073,5.006423,0.071354,0.086617
pcr#2,0.068356,0.043116,4.66266,5.391592,0.059323,0.068356
lasso#2,0.06227,0.038276,4.5192,5.421736,0.059454,0.06227
elasticnet#1,0.060927,0.038456,4.699946,5.505121,0.056567,0.060927
