model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.108905,0.09131,1.815509,3.222102,0.154879
lgbm_gbdt#2,0.105331,0.08415,1.514906,2.857041,0.154344
lgbm_dart#2,0.102218,0.084029,1.505748,2.686177,0.153201
rf#1,0.090828,0.089455,1.451105,3.275688,0.163802
ffn#1,0.090196,0.089923,1.608045,3.213889,0.149221
pls#2,0.087467,0.062489,1.504889,2.957106,0.143442
L-En,0.082027,0.057479,3.195107,4.41139,0.091334
elasticnet#1,0.052611,0.040212,3.132657,4.884571,0.060927
lasso#2,0.052059,0.039512,2.911698,4.49503,0.06227
pcr#2,0.050875,0.041751,3.039631,4.734168,0.068356
ridge#2,-0.018825,0.064554,-0.046982,3.862341,0.086617
