group,model,ic
2023-03-03,ridge#1,-0.7450980392156862
2023-03-06,ridge#1,-0.5402597402597403
2023-03-07,ridge#1,-0.026960784313725415
2023-03-09,ridge#1,0.9516483516483516
2023-03-10,ridge#1,0.22430830039525684
2023-03-13,ridge#1,0.9140667761357417
2023-03-14,ridge#1,0.2625152625152625
2023-03-15,ridge#1,0.5525030525030525
2023-03-16,ridge#1,0.9868131868131869
2023-03-17,ridge#1,-0.26
2023-03-20,ridge#1,-0.9400000000000002
2023-03-21,ridge#1,-0.4975369458128078
2023-03-22,ridge#1,0.9318885448916409
2023-03-24,ridge#1,0.8455882352941178
2023-03-31,ridge#1,-0.24210526315789474
2023-03-03,ridge#2,-0.7450980392156862
2023-03-06,ridge#2,-0.5402597402597403
2023-03-07,ridge#2,-0.026960784313725415
2023-03-09,ridge#2,0.9516483516483516
2023-03-10,ridge#2,0.22430830039525684
2023-03-13,ridge#2,0.9140667761357417
2023-03-14,ridge#2,0.2625152625152625
2023-03-15,ridge#2,0.5525030525030525
2023-03-16,ridge#2,0.9868131868131869
2023-03-17,ridge#2,-0.26
2023-03-20,ridge#2,-0.9400000000000002
2023-03-21,ridge#2,-0.4975369458128078
2023-03-22,ridge#2,0.9318885448916409
2023-03-24,ridge#2,0.8455882352941178
2023-03-31,ridge#2,-0.24210526315789474
2023-03-03,lasso#1,-0.7696078431372548
2023-03-06,lasso#1,-0.4688311688311687
2023-03-07,lasso#1,-0.2549019607843137
2023-03-09,lasso#1,0.9604395604395605
2023-03-10,lasso#1,0.4298418972332016
2023-03-13,lasso#1,0.9141918793699054
2023-03-14,lasso#1,0.24114774114774107
2023-03-15,lasso#1,0.5451770451770452
2023-03-16,lasso#1,0.9472527472527472
2023-03-17,lasso#1,-0.26153846153846155
2023-03-20,lasso#1,-0.9430769230769233
2023-03-21,lasso#1,-0.507389162561576
2023-03-22,lasso#1,0.9318885448916409
2023-03-24,lasso#1,0.8725490196078431
2023-03-31,lasso#1,-0.24385964912280692
2023-03-03,lasso#2,-0.7696078431372548
2023-03-06,lasso#2,-0.4688311688311687
2023-03-07,lasso#2,-0.2549019607843137
2023-03-09,lasso#2,0.9604395604395605
2023-03-10,lasso#2,0.4298418972332016
2023-03-13,lasso#2,0.9141918793699054
2023-03-14,lasso#2,0.24114774114774107
2023-03-15,lasso#2,0.5451770451770452
2023-03-16,lasso#2,0.9472527472527472
2023-03-17,lasso#2,-0.26153846153846155
2023-03-20,lasso#2,-0.9430769230769233
