model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
pls#1,0.05536,-0.002267,-0.268914,-0.708411,0.026815
ffn#1,0.0507,0.001521,-0.463242,-0.674422,0.020348
pls#2,0.049603,-0.009972,-0.536138,-0.928769,0.012999
L-En,0.044968,0.005253,0.38229,-0.001449,0.024794
ffn#2,0.043338,0.005744,-0.163365,-0.386266,0.025472
ridge#1,0.037129,0.005223,0.681334,0.06181,0.001434
ridge#2,0.036842,0.005261,0.671369,0.068325,0.001048
N-En,0.028971,0.003673,-0.586683,-0.486482,0.01211
lgbm_gbdt#2,0.028062,-0.000547,-0.510387,-0.680374,0.014218
lgbm_dart#1,0.024717,0.001015,-0.660519,-0.256845,0.007102
lgbm_dart#2,0.022239,0.001277,-0.64673,-0.60462,0.009991
rf#2,0.021801,0.010763,-0.526732,0.401279,0.011912
pcr#2,0.020782,0.003986,0.390652,-0.130343,0.016521
pcr#1,0.020781,0.003986,0.390667,-0.130335,0.016521
elasticnet#1,0.015999,0.005809,0.235443,1.233591,0.017093
rf#1,0.015292,0.010093,-0.666407,-0.058152,0.004533
elasticnet#2,0.013151,0.005252,0.216531,1.278641,0.013871
lasso#2,0.010528,0.004599,0.120202,1.317281,0.01381
lasso#1,0.010436,0.00451,0.131191,1.328476,0.01348
lgbm_gbdt#1,0.005102,-0.007944,-0.932828,-0.905739,-0.013015
