model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
pls#1,0.040389,-0.020597,-0.185256,-1.899573,-0.029476,0.040389
ffn#2,0.033877,-0.008149,-0.148174,-1.285949,-0.012235,0.033877
pcr#2,0.03074,-0.00399,0.339373,-1.204342,0.014265,0.03074
pcr#1,0.03074,-0.00399,0.339383,-1.204323,0.014265,0.03074
elasticnet#1,0.030366,-0.002128,0.263603,-1.082565,0.010822,0.030366
L-En,0.027668,-0.007251,0.135556,-1.529282,0.006694,0.027668
lasso#2,0.025979,-0.001521,0.199357,-0.985734,0.007296,0.025979
elasticnet#2,0.025468,-0.001625,0.265876,-1.013303,0.009066,0.025468
lasso#1,0.025207,-0.001448,0.206193,-0.973286,0.007264,0.025207
rf#2,0.022052,-0.015877,-0.30622,-2.301107,-0.031607,0.022052
ffn#1,0.009967,-0.02116,-0.442964,-1.847661,-0.054877,0.009967
pls#2,0.007885,-0.029312,-0.432211,-2.099844,-0.06148,0.007885
N-En,0.006308,-0.023862,-0.4397,-2.543053,-0.05159,0.006308
lgbm_dart#2,0.00136,-0.033251,-0.499584,-2.590387,-0.06897,0.00136
lgbm_dart#1,-0.000259,-0.015669,-0.478725,-1.786581,-0.049619,-0.000259
rf#1,-0.00401,-0.025227,-0.556818,-2.520875,-0.065405,-0.00401
ridge#1,-0.00799,-0.013896,0.615243,-2.295503,0.014409,-0.00799
ridge#2,-0.008642,-0.014174,0.593019,-2.343268,0.014039,-0.008642
lgbm_gbdt#2,-0.019976,-0.038221,-0.41122,-1.951349,-0.049168,-0.019976
lgbm_gbdt#1,-0.029751,-0.062798,-0.685771,-2.461092,-0.10727,-0.029751
