model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
pls#1,0.050836,-0.010105,-0.227129,-1.326754,0.040389
ffn#2,0.02509,-0.005556,-0.270114,-1.108154,0.033877
pls#2,0.024552,-0.013199,-0.55617,-1.407146,0.007885
lgbm_dart#2,0.021821,-0.009024,-0.595765,-1.673121,0.00136
ffn#1,0.021683,-0.011241,-0.557823,-1.33894,0.009967
lgbm_gbdt#2,0.020969,-0.007196,-0.507818,-2.579546,-0.019976
rf#2,0.02059,-0.003967,-0.48379,-2.115096,0.022052
elasticnet#1,0.019447,-0.000801,0.163098,-0.97382,0.030366
N-En,0.018644,-0.008149,-0.587525,-1.60455,0.006308
pcr#2,0.017709,-0.003006,0.173155,-1.078435,0.03074
pcr#1,0.017708,-0.003006,0.173165,-1.078429,0.03074
rf#1,0.017555,-0.007063,-0.623191,-1.924931,-0.00401
L-En,0.016651,-0.003737,-0.066873,-1.17773,0.027668
lasso#2,0.016605,-0.000503,0.09455,-0.890099,0.025979
lasso#1,0.016034,-0.000488,0.099759,-0.880937,0.025207
elasticnet#2,0.015972,-0.000698,0.154611,-0.931004,0.025468
lgbm_dart#1,0.012017,-0.00428,-0.69025,-2.107138,-0.000259
lgbm_gbdt#1,0.004113,-0.02026,-0.885113,-1.582941,-0.029751
ridge#1,-0.013243,-0.004331,0.060645,-1.443615,-0.00799
ridge#2,-0.013414,-0.00432,0.056627,-1.45575,-0.008642
