group,model,ic
2023-05-01,ridge#1,0.8109890109890108
2023-05-01,ridge#2,0.8109890109890108
2023-05-01,lasso#1,0.6395604395604395
2023-05-01,lasso#2,0.6395604395604395
2023-05-01,elasticnet#1,0.767032967032967
2023-05-01,elasticnet#2,0.679120879120879
2023-05-01,pcr#1,0.9516483516483517
2023-05-01,pcr#2,0.9516483516483517
2023-05-01,pls#1,0.9296703296703296
2023-05-01,pls#2,0.9296703296703296
2023-05-01,L-En,0.8329670329670329
2023-05-01,ffn#1,0.6439560439560438
2023-05-01,ffn#2,0.5560439560439561
2023-05-01,rf#1,0.5966941897186162
2023-05-01,rf#2,0.4945054945054945
2023-05-01,lgbm_gbdt#1,0.6140615417623684
2023-05-01,lgbm_gbdt#2,0.3426285414181331
2023-05-01,lgbm_dart#1,0.477073504799436
2023-05-01,lgbm_dart#2,0.5606648859569452
2023-05-01,N-En,0.5824175824175823
