model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,1,0.069579,,,1.0
N-En,1,0.061355,,,1.0
elasticnet#1,1,0.061355,,,1.0
elasticnet#2,1,0.050787,,,1.0
ffn#1,1,0.061355,,,1.0
ffn#2,1,0.053077,,,1.0
lasso#1,1,0.050787,,,1.0
lasso#2,1,0.050787,,,1.0
lgbm_dart#1,1,-0.049227,,,0.0
lgbm_dart#2,1,0.041308,,,1.0
lgbm_gbdt#1,1,0.050787,,,1.0
lgbm_gbdt#2,1,0.099644,,,1.0
pcr#1,1,0.159852,,,1.0
pcr#2,1,0.159852,,,1.0
pls#1,1,0.159852,,,1.0
pls#2,1,0.159852,,,1.0
rf#1,1,-0.035965,,,0.0
rf#2,1,0.061355,,,1.0
ridge#1,1,0.061355,,,1.0
ridge#2,1,0.061355,,,1.0
