model,IC_mean,IC_std,N
L-En,0.08533099634694735,0.8853797493332473,4
N-En,0.07231901393800697,0.8842607588288816,4
elasticnet#1,0.08044229237357517,0.882100993045634,4
elasticnet#2,0.07755934389566094,0.8810560339245906,4
ffn#1,0.05596136936155777,0.905635437389329,4
ffn#2,0.05793765394653805,0.9035615755149792,4
lasso#1,0.07784167026494385,0.8807796122414845,4
lasso#2,0.07931225850023796,0.882462601807213,4
lgbm_dart#1,0.054068655393299414,0.7999839294888875,4
lgbm_dart#2,0.06411615208384691,0.8283343196026345,4
lgbm_gbdt#1,0.07278107336408271,0.8454429030439782,4
lgbm_gbdt#2,0.10339736108768519,0.8289683935470705,4
pcr#1,0.06017565128818331,0.8969637023219373,4
pcr#2,0.06017565128818331,0.8969637023219373,4
pls#1,0.06572633630111085,0.8909471335484792,4
pls#2,0.0677965475768007,0.9032266110994871,4
rf#1,0.0907938694338051,0.8761535292071447,4
rf#2,0.051702764525822814,0.8625992140644775,4
ridge#1,0.08096234541247332,0.8854696484798965,4
ridge#2,0.08096234541247332,0.8854696484798965,4
