model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,4,2.236445,3.646113,1.226756,0.75
N-En,4,2.237046,3.646817,1.226848,0.75
elasticnet#1,4,2.236445,3.646113,1.226756,0.75
elasticnet#2,4,2.236445,3.646113,1.226756,0.75
ffn#1,4,2.236445,3.646113,1.226756,0.75
ffn#2,4,2.236445,3.646113,1.226756,0.75
lasso#1,4,2.236445,3.646113,1.226756,0.75
lasso#2,4,2.236445,3.646113,1.226756,0.75
lgbm_dart#1,4,2.23705,3.646656,1.226905,0.75
lgbm_dart#2,4,2.235377,3.648836,1.225255,0.75
lgbm_gbdt#1,4,2.234532,3.649184,1.224675,0.75
lgbm_gbdt#2,4,2.239758,3.644523,1.229109,0.75
pcr#1,4,2.236445,3.646113,1.226756,0.75
pcr#2,4,2.236445,3.646113,1.226756,0.75
pls#1,4,2.236445,3.646113,1.226756,0.75
pls#2,4,2.239077,3.645223,1.228499,0.75
rf#1,4,2.234149,3.647923,1.224888,0.75
rf#2,4,2.234594,3.649516,1.224597,0.75
ridge#1,4,2.236445,3.646113,1.226756,0.75
ridge#2,4,2.236445,3.646113,1.226756,0.75
