model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lasso#1,0.93691,,15.671838,,0.935917
lasso#2,0.93678,,15.59588,,0.935794
elasticnet#2,0.898464,,31.877572,,0.896938
L-En,0.888186,,6.866872,-1.0,0.88868
elasticnet#1,0.845662,,64.118044,,0.843963
pls#2,0.709579,,4.987589,,0.710744
N-En,0.249153,,0.32426,,0.264664
lgbm_dart#2,-0.403489,,-1.190394,-1.0,-0.395998
rf#1,-1.003657,,-0.803597,,-0.97736
pcr#2,-2.144473,,-2.117086,,-2.159614
pcr#1,-2.144473,,-2.117086,,-2.159614
lgbm_gbdt#1,-2.434281,,-1.34021,,-2.393443
rf#2,-5.321829,,-0.927471,,-5.199015
lgbm_dart#1,-8.68011,,-0.97092,,-8.4877
lgbm_gbdt#2,-9.65843,,-1.715895,,-9.748044
ffn#1,-17.975969,,-142.696754,,-17.931868
ffn#2,-20.96975,,-11.880795,,-20.886542
pls#1,-21.055711,,-5.919215,,-20.937235
ridge#1,-25.551712,,-2.018357,,-25.245998
ridge#2,-25.761682,,-2.017069,,-25.4533
