group,model,ic
2023-06-02,ridge#1,-0.37192982456140344
2023-06-02,ridge#2,-0.37192982456140344
2023-06-02,lasso#1,-0.4087719298245613
2023-06-02,lasso#2,-0.4087719298245613
2023-06-02,elasticnet#1,-0.3929824561403509
2023-06-02,elasticnet#2,-0.3929824561403509
2023-06-02,pcr#1,-0.37192982456140344
2023-06-02,pcr#2,-0.37192982456140344
2023-06-02,pls#1,-0.37192982456140344
2023-06-02,pls#2,-0.37192982456140344
2023-06-02,L-En,-0.37894736842105253
2023-06-02,ffn#1,-0.37894736842105253
2023-06-02,ffn#2,-0.37894736842105253
2023-06-02,rf#1,-0.4912280701754385
2023-06-02,rf#2,-0.5140350877192982
2023-06-02,lgbm_gbdt#1,-0.5092188090761296
2023-06-02,lgbm_gbdt#2,-0.5752437643913908
2023-06-02,lgbm_dart#1,-0.5289990594905932
2023-06-02,lgbm_dart#2,-0.6488149998401029
2023-06-02,N-En,-0.5
