model,IC_mean,IC_std,N
L-En,0.11981087613551125,0.4860753614044696,7
N-En,0.06917896271500869,0.5293884557699702,7
elasticnet#1,0.12285552572151417,0.47978644926729014,7
elasticnet#2,0.1248963420480448,0.47750027439288484,7
ffn#1,0.10664572932595937,0.5250505426979585,7
ffn#2,0.10726352226573369,0.5348272938656965,7
lasso#1,0.12390733105903382,0.47851080164338816,7
lasso#2,0.12390733105903382,0.47851080164338816,7
lgbm_dart#1,0.05080905910841586,0.48223899739501175,7
lgbm_dart#2,0.051859571597945915,0.5290927193772536,7
lgbm_gbdt#1,0.10481489454845792,0.48840930089131496,7
lgbm_gbdt#2,0.06690634726186913,0.4660648815432858,7
pcr#1,0.1253069089247771,0.4780616035378597,7
pcr#2,0.1253069089247771,0.4780616035378597,7
pls#1,0.1195489119460813,0.48236326040007094,7
pls#2,0.1175251837945336,0.47889542013621306,7
rf#1,0.06551196785386403,0.5055318498822153,7
rf#2,0.09377381779322905,0.4775505196830172,7
ridge#1,0.12087212065540236,0.4912932362919938,7
ridge#2,0.12087212065540236,0.4912932362919938,7
