model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
L-En,0.146911,-0.097694,1.022082,-0.327603,0.148166,0.146911
lasso#2,0.072588,-0.058764,0.497121,-0.496867,0.062811,0.072588
lasso#1,0.069442,-0.055871,0.488658,-0.475567,0.060646,0.069442
elasticnet#1,0.068305,-0.048842,0.51074,-0.43339,0.059538,0.068305
elasticnet#2,0.0653,-0.048161,0.49401,-0.419121,0.057729,0.0653
N-En,0.054774,-0.170854,-0.219874,-0.685064,-0.097423,0.054774
pcr#2,0.051771,-0.059037,0.673343,-0.782895,0.056924,0.051771
pcr#1,0.051771,-0.059037,0.673343,-0.782895,0.056924,0.051771
lgbm_gbdt#2,0.042123,-0.181949,-0.352337,-0.813221,-0.193182,0.042123
ffn#2,0.02884,-0.093373,-0.054033,-0.611899,-0.010914,0.02884
lgbm_dart#1,0.018121,-0.084977,-0.376336,-0.818598,-0.056271,0.018121
ffn#1,-0.039518,-0.087403,-0.322305,-0.552889,-0.070456,-0.039518
rf#2,-0.088035,-0.226277,-0.568718,-0.905493,-0.221134,-0.088035
rf#1,-0.11108,-0.237961,-0.791464,-1.109958,-0.295765,-0.11108
lgbm_dart#2,-0.139713,-0.387148,-0.607432,-0.984961,-0.463499,-0.139713
pls#2,-0.153181,-0.44553,-0.424584,-1.211039,-0.11081,-0.153181
pls#1,-0.162793,-0.340885,-0.513794,-1.062865,-0.139241,-0.162793
ridge#1,-0.287176,-0.251166,-0.935009,-0.442258,-0.242551,-0.287176
ridge#2,-0.292665,-0.253226,-0.948398,-0.438961,-0.24651,-0.292665
lgbm_gbdt#1,-0.447334,-0.588085,-0.860641,-0.98131,-1.212636,-0.447334
