model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#2,0.176929,0.152222,1.764559,1.961134,0.159889,0.176929
rf#1,0.168432,0.148814,1.830332,2.098856,0.151962,0.168432
rf#2,0.167623,0.147459,1.833559,2.119513,0.152078,0.167623
ffn#1,0.161401,0.145031,1.588763,1.976121,0.139343,0.161401
ffn#2,0.15513,0.133645,1.605887,1.993676,0.134195,0.15513
N-En,0.151496,0.126601,1.797134,2.091225,0.136437,0.151496
lgbm_gbdt#1,0.149895,0.120381,1.293488,1.573097,0.115611,0.149895
lgbm_dart#2,0.140525,0.108919,1.57203,1.772239,0.122299,0.140525
pls#2,0.136337,0.110591,1.898952,2.129704,0.123973,0.136337
pls#1,0.13533,0.094125,1.831748,2.178633,0.123132,0.13533
ridge#2,0.082242,0.080459,1.196366,2.191492,0.065846,0.082242
L-En,0.081741,0.060021,1.785922,2.314517,0.07406,0.081741
ridge#1,0.080963,0.079306,1.190036,2.193242,0.064761,0.080963
lasso#2,0.059074,0.036255,1.674866,2.369605,0.053765,0.059074
lasso#1,0.05849,0.035898,1.683029,2.3749,0.053304,0.05849
elasticnet#1,0.05759,0.035635,1.708343,2.382639,0.05249,0.05759
elasticnet#2,0.057331,0.035316,1.713205,2.387899,0.052361,0.057331
pcr#1,0.056011,0.038198,1.805007,2.321121,0.051072,0.056011
pcr#2,0.056011,0.038198,1.805007,2.321121,0.051072,0.056011
lgbm_dart#1,0.047705,0.02829,1.255962,1.801194,0.039956,0.047705
