model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.161429,0.142562,1.192323,1.185085,0.176929
N-En,0.140212,0.123664,1.323479,1.373962,0.151496
rf#2,0.138939,0.133294,1.273831,1.525227,0.167623
rf#1,0.136695,0.127175,1.210338,1.413167,0.168432
ffn#1,0.132816,0.152002,1.078613,1.577499,0.161401
ffn#2,0.132432,0.138885,1.185914,1.631761,0.15513
pls#1,0.126896,0.093966,1.476209,1.743169,0.13533
lgbm_dart#2,0.124098,0.100397,0.676416,0.661917,0.140525
lgbm_gbdt#1,0.122132,0.109047,0.024745,0.122079,0.149895
pls#2,0.117402,0.106127,1.534589,1.605029,0.136337
L-En,0.098591,0.067682,1.78133,2.094981,0.081741
lasso#2,0.070288,0.046421,1.557948,2.090268,0.059074
lasso#1,0.069281,0.045991,1.565622,2.106238,0.05849
elasticnet#1,0.067708,0.045289,1.606771,2.150234,0.05759
elasticnet#2,0.067263,0.045056,1.606516,2.157152,0.057331
pcr#1,0.065011,0.043975,1.825702,2.242129,0.056011
pcr#2,0.065011,0.043975,1.825702,2.242129,0.056011
ridge#2,0.055727,0.07914,0.085825,1.720651,0.082242
ridge#1,0.055166,0.078345,0.081405,1.718964,0.080963
lgbm_dart#1,0.053669,0.038722,0.987026,1.338179,0.047705
