model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,8,3.354122,4.633067,2.047648,0.625
N-En,8,3.437066,4.762172,2.041399,0.625
elasticnet#1,8,3.412983,4.77198,2.022928,0.625
elasticnet#2,8,3.412983,4.77198,2.022928,0.625
ffn#1,8,3.253334,4.355794,2.112547,0.75
ffn#2,8,3.242142,4.364697,2.100985,0.625
lasso#1,8,3.413883,4.772156,2.023387,0.625
lasso#2,8,3.413883,4.772156,2.023387,0.625
lgbm_dart#1,8,3.381698,4.621264,2.069755,0.625
lgbm_dart#2,8,3.441093,4.760365,2.044566,0.625
lgbm_gbdt#1,8,3.261768,4.347166,2.122227,0.625
lgbm_gbdt#2,8,3.441901,4.759791,2.045293,0.625
pcr#1,8,3.381367,4.622304,2.069087,0.625
pcr#2,8,3.381367,4.622304,2.069087,0.625
pls#1,8,3.206986,4.222719,2.148077,0.625
pls#2,8,3.004155,3.785828,2.244432,0.625
rf#1,8,3.384528,4.62038,2.071883,0.625
rf#2,8,3.354955,4.632373,2.048463,0.625
ridge#1,8,3.400195,4.777424,2.013052,0.625
ridge#2,8,3.400195,4.777424,2.013052,0.625
