model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 4.430375245218266}",-0.06838949634165375,"[-0.21619666359660616, 0.07941767091329865]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 13.981961408994046}",-0.01392726275150874,"[-0.1007690237695602, 0.07291449826654273]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 6.431172050131989}",-0.04666537549553451,"[-0.17114374933519483, 0.0778129983441258]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 4.31171005868549}",-0.07006689592658005,"[-0.2196512678604372, 0.0795174760072771]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.8662266976517967}",-0.12263687669806422,"[-0.3269702375000483, 0.08169648410391983]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 8.663279761354557}",-0.03177292684722005,"[-0.13973250692978767, 0.07618665323534757]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.0547625125911337}",-0.11683545761037328,"[-0.31519090268272776, 0.08151998746198119]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 47.34989304499475}",0.0013825979062538907,"[-0.06056287110903624, 0.06332806692154402]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 77.80155576901412}",0.003309871193710512,"[-0.0546993917414067, 0.061319134128827724]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.4135935551752299}",-0.1384737795706215,"[-0.3590737290491244, 0.08212616990788135]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 23.72330072992193}",-0.0031446896643302358,"[-0.0748941531259395, 0.06860477379727903]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.860866271460544}",-0.0769763107617511,"[-0.23385417606707337, 0.07990155454357117]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.059803874660431}",-0.06033774079513493,"[-0.1995725954351828, 0.07889711384491294]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 59.812219011525556}",0.0021248124941821156,"[-0.05786162743853529, 0.06211125242689952]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.16334587611069498}",-0.20388404588257247,"[-0.49112535802717394, 0.083357266262029]",3,1,60,True,
