model,IC_mean,IC_std,N
L-En,0.017643467643467654,0.5727478528616982,3
N-En,0.02805250305250299,0.5696246911354309,3
elasticnet#1,0.004625439919557606,0.5836674851277059,3
elasticnet#2,0.004625439919557606,0.5836674851277059,3
ffn#1,-0.005305968541262714,0.4793168384977673,3
ffn#2,0.0021116138763197143,0.48857554723235497,3
lasso#1,0.0034349637290813826,0.5816055664593575,3
lasso#2,0.027749048337283606,0.560710914032816,3
lgbm_dart#1,-0.00806780740025731,0.49620382077809494,3
lgbm_dart#2,0.05718056453350562,0.5077049741428326,3
lgbm_gbdt#1,0.009349604787412332,0.5890645082732449,3
lgbm_gbdt#2,0.027241564294996856,0.5447485446112852,3
pcr#1,0.033539826186885,0.5617088293317835,3
pcr#2,0.033539826186885,0.5617088293317835,3
pls#1,0.033060403648638936,0.5622041719873465,3
pls#2,0.02227608992314874,0.5498428519028352,3
rf#1,-0.02368203691733108,0.5750429397834753,3
rf#2,0.02684047978165614,0.5458725043970947,3
ridge#1,0.014474251238957089,0.5818245630919061,3
ridge#2,0.014474251238957089,0.5818245630919061,3
