model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#1,0.247632,0.007588,0.767093,-0.62248,0.252227,0.247632
lgbm_gbdt#2,0.189022,0.014144,0.676485,-0.589982,0.166123,0.189022
N-En,0.179971,0.03912,0.862783,-0.20007,0.172552,0.179971
lgbm_dart#2,0.177977,0.030928,0.940605,0.024956,0.18446,0.177977
rf#1,0.168374,0.056134,0.635824,-0.147489,0.125316,0.168374
ffn#1,0.158095,0.031169,0.913186,-0.361412,0.162189,0.158095
rf#2,0.157673,0.055882,0.659146,-0.131044,0.119468,0.157673
ffn#2,0.157373,0.030344,0.911602,-0.373364,0.161212,0.157373
pls#2,0.14896,0.0287,0.793718,-0.424262,0.141611,0.14896
pls#1,0.142025,0.02994,0.764794,-0.266883,0.129272,0.142025
L-En,0.09427,0.033598,1.042301,0.243415,0.090536,0.09427
lgbm_dart#1,0.085096,0.012503,1.047331,1.734724,0.103516,0.085096
ridge#2,0.084419,0.062281,1.019645,0.501459,0.082642,0.084419
ridge#1,0.083189,0.06094,1.017163,0.496442,0.081833,0.083189
lasso#2,0.073702,0.021499,1.036323,0.520391,0.072251,0.073702
lasso#1,0.072699,0.021292,1.038268,0.505386,0.071038,0.072699
elasticnet#1,0.070154,0.02316,1.059111,0.463835,0.068031,0.070154
elasticnet#2,0.06788,0.023449,1.072976,0.477141,0.066135,0.06788
pcr#1,0.055656,0.017434,1.038453,0.081491,0.050202,0.055656
pcr#2,0.055656,0.017434,1.038453,0.081491,0.050202,0.055656
