model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#1,0.236646,0.004564,0.740153,-0.726911,0.247632
lgbm_gbdt#2,0.175959,0.016443,0.633733,-0.659168,0.189022
N-En,0.16901,0.044642,0.810687,-0.319742,0.179971
lgbm_dart#2,0.167974,0.036414,0.890327,-0.072918,0.177977
rf#1,0.148545,0.061703,0.56468,-0.292686,0.168374
ffn#1,0.143861,0.03246,0.863301,-0.48829,0.158095
ffn#2,0.142692,0.031501,0.861863,-0.499926,0.157373
rf#2,0.137207,0.059319,0.584832,-0.278965,0.157673
pls#2,0.126938,0.032232,0.73941,-0.51015,0.14896
pls#1,0.112811,0.037403,0.69506,-0.33918,0.142025
lgbm_dart#1,0.089543,0.014205,1.027183,1.766703,0.085096
L-En,0.086999,0.040956,0.961266,0.154754,0.09427
ridge#2,0.073838,0.068581,0.947117,0.390927,0.084419
ridge#1,0.072863,0.067296,0.945975,0.386133,0.083189
lasso#2,0.067262,0.027341,0.952596,0.445996,0.073702
lasso#1,0.066291,0.027072,0.953394,0.431728,0.072699
elasticnet#1,0.063891,0.028792,0.969652,0.380879,0.070154
elasticnet#2,0.06214,0.029013,0.982988,0.391055,0.06788
pcr#1,0.047367,0.022883,0.916468,0.00806,0.055656
pcr#2,0.047367,0.022883,0.916468,0.00806,0.055656
