model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.171298,0.109732,3.522469,3.817677,0.154825,0.171298
N-En,0.159884,0.090619,3.697002,4.152703,0.144327,0.159884
lgbm_gbdt#2,0.158891,0.088948,3.243583,3.44327,0.147241,0.158891
lgbm_dart#2,0.158634,0.08614,3.474903,3.843381,0.146028,0.158634
ffn#1,0.157341,0.090438,3.66004,4.313418,0.136087,0.157341
pls#2,0.150579,0.072692,3.822301,4.36776,0.131611,0.150579
ridge#2,0.101042,0.072764,3.571673,4.755372,0.073421,0.101042
L-En,0.094036,0.043514,4.339827,4.855921,0.077549,0.094036
pcr#2,0.070532,0.026723,4.538953,4.896625,0.054911,0.070532
lasso#2,0.062738,0.021412,4.225515,4.711824,0.055494,0.062738
elasticnet#1,0.061945,0.022242,4.387924,4.769481,0.054044,0.061945
