group,model,ic
2023-03-03,ridge#1,-0.37530589543937726
2023-03-06,ridge#1,-0.7838709677419354
2023-03-07,ridge#1,-0.4006674082313682
2023-03-08,ridge#1,0.4771968854282536
2023-03-09,ridge#1,0.8035190615835776
2023-03-10,ridge#1,0.747434017595308
2023-03-13,ridge#1,0.9167487684729065
2023-03-14,ridge#1,0.2657258064516129
2023-03-15,ridge#1,0.07221407624633436
2023-03-16,ridge#1,0.45527859237536666
2023-03-17,ridge#1,0.5128078817733991
2023-03-20,ridge#1,-0.16310892172961136
2023-03-21,ridge#1,0.24285714285714277
2023-03-22,ridge#1,0.880241935483871
2023-03-23,ridge#1,-0.28854282536151277
2023-03-24,ridge#1,-0.07847321005215732
2023-03-31,ridge#1,-0.6380347593582889
2023-04-03,ridge#1,-0.19688542825361524
2023-04-04,ridge#1,-0.8451612903225807
2023-04-05,ridge#1,-0.9279199110122358
2023-04-06,ridge#1,-0.7725806451612901
2023-04-07,ridge#1,0.2791991101223582
2023-04-10,ridge#1,0.9379032258064515
2023-04-11,ridge#1,-0.48306451612903234
2023-04-12,ridge#1,0.18841642228738978
2023-04-13,ridge#1,-0.0531701890989989
2023-04-14,ridge#1,-0.8518353726362624
2023-04-17,ridge#1,-0.11428571428571435
2023-04-18,ridge#1,-0.19846153846153833
2023-04-19,ridge#1,-0.7941880341880342
2023-04-20,ridge#1,-0.8494800218938147
2023-04-21,ridge#1,-0.8741105637657364
2023-05-01,ridge#1,0.7518661518661516
2023-05-02,ridge#1,-0.7413127413127414
2023-05-03,ridge#1,-0.14173669467787106
2023-05-04,ridge#1,-0.04721161191749426
2023-05-05,ridge#1,-0.7543162719633307
2023-05-08,ridge#1,-0.42001527883880835
2023-05-09,ridge#1,-0.9796122994652406
2023-05-10,ridge#1,0.3975806451612903
2023-05-11,ridge#1,-0.728372434017595
2023-05-12,ridge#1,-0.286290322580645
2023-05-15,ridge#1,-0.8812013348164627
2023-05-16,ridge#1,-0.725615763546798
2023-05-17,ridge#1,0.316923076923077
2023-05-18,ridge#1,-0.38731924360400444
2023-05-19,ridge#1,-0.6568986568986569
2023-05-22,ridge#1,-0.3524786324786324
2023-06-02,ridge#1,-0.6306306306306306
2023-06-05,ridge#1,0.5697478991596638
2023-06-06,ridge#1,-0.7342914438502675
2023-06-07,ridge#1,-0.0771581359816654
