model,IC_mean,IC_std,N
L-En,-0.22067175784052706,0.5899089791589283,94
N-En,-0.1489359636546924,0.5468618901129186,94
elasticnet#1,-0.1458853062922751,0.623991788810882,30
elasticnet#2,-0.0717612052663419,0.5081578082459465,30
ffn#1,-0.1343801642418742,0.5780295441869884,94
ffn#2,-0.1191017904049359,0.5640160943646976,94
lasso#1,-0.11965292177693455,0.46777185973791097,28
lasso#2,-0.1466088695403494,0.6214497286544775,14
lgbm_dart#1,-0.10983964278258843,0.5281763028748636,94
lgbm_dart#2,-0.12225153107779137,0.5287739200195217,94
lgbm_gbdt#1,-0.15887401916691407,0.5332660900970114,94
lgbm_gbdt#2,-0.12578313683993841,0.5182460919644241,94
pcr#1,-0.29466786575408893,0.5674949759193134,94
pcr#2,-0.29466786575408893,0.5674949759193134,94
pls#1,-0.23620630460406314,0.5958657369149842,94
pls#2,-0.23432007613142244,0.5905436162582688,94
rf#1,-0.20207429723348544,0.5647587756460094,94
rf#2,-0.21050191625138157,0.5665123772831338,94
ridge#1,-0.10368085028729933,0.5618330791164219,94
ridge#2,-0.1047873011484211,0.5617914386593456,94
